user_id,password,full_name,carplate,phone_number,Service Number,0
5350b330,Jl5uCn8S,Günşen Şener,27 PX 235,+90 505-140-95-99,21,https://yandex.com.tr/harita/?ll=29.132170566732206%2C41.148180849692885&mode=routes&rtext=41.162816513914%2C29.14309256641041~41.12830977314589%2C29.146430530347505~41.11923458458457%2C29.128676097841325~41.09562040938014%2C29.1534371984938~41.0738047417771%2C29.114850549879968~41.11699963558223%2C29.166912496067813~41.11167904487768%2C29.13877729353562~41.10204950340672%2C29.13578333312013~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
dd38a4dc,OW9Bec5k,Süvari Alemdar,18 HS 824,+90 544-335-39-84,22,https://yandex.com.tr/harita/?ll=28.98480247376413%2C41.02949775432055&mode=routes&rtext=41.03101514261562%2C28.975629320356727~41.005203281688495%2C28.97729324551075~41.02658333580809%2C28.94681868872244~41.01148600994499%2C28.97188968788409~41.01692248583179%2C28.954592230911416~41.0106725475336%2C28.97250591797379~41.02112914226558%2C28.96221955547848~41.024713177880805%2C28.95342042068152~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
b00f48e9,LTfM8iit,Saydam Bilge,71 QM 916,+90 521-516-13-14,23,https://yandex.com.tr/harita/?ll=28.825476410834884%2C41.01921493563172&mode=routes&rtext=41.00517078426123%2C28.84439243651068~41.014424182099006%2C28.84177560021886~41.03743382514647%2C28.84245030635918~41.02004414051979%2C28.83924353576589~41.03118630026813%2C28.82539412220545~41.03135820823221%2C28.85510402726002~41.02982635723334%2C28.822061719927337~41.02403529164452%2C28.84902166838293~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
8f4b92e6,2Rxc3alt,Aköz Yüksel,53 XH 348,+90 568-577-51-91,24,https://yandex.com.tr/harita/?ll=29.4245629250758%2C40.95212364601005&mode=routes&rtext=40.9158989171449%2C29.334608841120485~40.93566645853088%2C29.42221159651424~40.89180698576544%2C29.31632268724523~40.9195042901753%2C29.35282846517752~40.971087147189714%2C29.36182932502049~40.96347034020179%2C29.38015261044176~40.96702293142429%2C29.36215213485384~40.96464707040409%2C29.36857870447944~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
301b4552,1dNp3Sxp,Satrettin Tevetoğlu,63 VE 104,+90 559-901-35-00,25,https://yandex.com.tr/harita/?ll=29.11103083647796%2C41.01585259997934&mode=routes&rtext=40.9854645590375%2C29.106004403234778~40.99877007475247%2C29.121848017424107~41.00985215060513%2C29.11012491081412~40.98225867583624%2C29.10142758968998~41.0025669850055%2C29.10732176290648~41.00198637280661%2C29.114817568127364~41.008533543071%2C29.112064582570767~40.98229397960012%2C29.113844939799293~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
6669a3da,3CRPKdRd,Ayvas Yıldırım,80 CV 273,+90 540-659-10-31,26,https://yandex.com.tr/harita/?ll=28.87620800973105%2C40.9705437706816&mode=routes&rtext=40.98494640837929%2C28.87164409093429~40.9744953463827%2C28.852855170320915~40.98437982581599%2C28.879415237304904~40.9744688604526%2C28.85418489962016~40.97768616433451%2C28.856815756689628~40.98181349492837%2C28.87743659575554~40.97403173986451%2C28.87150405468582~40.97793210218808%2C28.862119772849404~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
e1a6fa8f,8eaCF4rL,Çavuldur Bilir,81 MY 179,+90 538-484-69-80,27,https://yandex.com.tr/harita/?ll=29.17640445351951%2C41.0353083122801&mode=routes&rtext=41.02142654219587%2C29.19034156769793~41.02513417338444%2C29.197119355980448~41.01423297444988%2C29.15746813475177~41.01535613946089%2C29.18475351534468~41.03320015467495%2C29.15319310753267~41.006999732434686%2C29.181344934566376~41.00204066041254%2C29.18168893373885~41.01227961398466%2C29.186132272155632~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
bebc1fa9,mSsIR0W6,Kayıt Türk,57 UH 325,+90 554-416-93-92,28,https://yandex.com.tr/harita/?ll=29.22652098893053%2C41.08629212556357&mode=routes&rtext=41.069954711244606%2C29.186827724009216~41.113691039752574%2C29.17583223676409~41.09667695490005%2C29.24897226468592~41.069862498909984%2C29.213063277768~41.08961795107289%2C29.221510181877267~41.0628943252512%2C29.18682989175829~41.122205346193546%2C29.26980350217188~41.047048261504834%2C29.230591200253635~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
94806f7e,wi4sEIMG,Özüdoğru Tevetoğlu,59 ZT 763,+90 524-306-82-28,29,https://yandex.com.tr/harita/?ll=28.91689809900921%2C41.06361507025731&mode=routes&rtext=41.06341911906362%2C28.92166909921361~41.05036029312559%2C28.90656454603408~41.0404323867837%2C28.91785383954512~41.05038955694322%2C28.907961523927323~41.05465222091888%2C28.93128112169768~41.06580775121001%2C28.929485412481668~41.05201957140111%2C28.90900115976615~41.06981001583805%2C28.902478341585205~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
82af25bf,9KpG9sGu,Esentürk Sezer,41 PW 234,+90 537-973-45-80,30,https://yandex.com.tr/harita/?ll=28.626274508853765%2C41.09701669386835&mode=routes&rtext=41.07759634797839%2C28.635157102872025~41.06401453715163%2C28.65749547634484~41.08727633877265%2C28.620080422721216~41.10212293898051%2C28.618177624858635~41.0630865463427%2C28.6355725931876~41.07111508159559%2C28.652154476616705~41.06201887211271%2C28.615923948717374~41.07925726610036%2C28.5981254586022~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
15e95de2,ToDVwPPg,Feyruz Mansız,54 TQ 396,+90 569-796-97-58,31,https://yandex.com.tr/harita/?ll=28.6367756878362%2C41.00942151115475&mode=routes&rtext=40.984247865400775%2C28.62607926132576~40.99569652379922%2C28.62726415419687~40.97200056249563%2C28.63299552608007~40.979517150839385%2C28.656535548932123~41.002044696558734%2C28.65856080868009~41.00123273062501%2C28.62890654229361~40.98665695901521%2C28.66780148287216~40.97306778643245%2C28.673931758234563~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
f9cea7a4,bqnTg6r6,Aypar Hayrioğlu,72 BE 545,+90 506-382-47-82,32,https://yandex.com.tr/harita/?ll=29.3120400225948%2C41.01831732248918&mode=routes&rtext=40.97464640627182%2C29.26394751009171~40.98292752638295%2C29.27989168977324~41.02802256932849%2C29.312724857680863~41.00350172097976%2C29.2878973215108~40.96725140727898%2C29.30137503676651~40.94632767558033%2C29.28544414855968~41.01444043857686%2C29.302128594787472~41.01492325993061%2C29.282832526143835~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
1f30b786,7YECRYnS,Abdülkerim Manço,71 GV 705,+90 548-269-88-55,33,https://yandex.com.tr/harita/?ll=29.06629353285591%2C41.00936788277511&mode=routes&rtext=40.989751093026335%2C29.04485952106989~40.96438381856711%2C29.0445983915688~40.99919463330329%2C29.06803002741882~40.99841203380747%2C29.051850416035805~40.97034500907159%2C29.05629579750953~41.00592646748468%2C29.06001149613281~40.97786131931299%2C29.044888210347963~40.96295295913452%2C29.059313879719262~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
e98ca673,0dl1S3aM,Serol Demirel,25 DK 385,+90 584-112-72-99,34,https://yandex.com.tr/harita/?ll=29.27603603376132%2C41.07243332288824&mode=routes&rtext=41.034878401104166%2C29.25857537994268~41.04791057638221%2C29.26583124490998~41.03433138727423%2C29.27500429861528~41.0543285795134%2C29.28935939047839~41.03191045366184%2C29.24521623731552~41.05820956060438%2C29.266114955944143~41.044056854391016%2C29.23076500989251~41.04557393582196%2C29.266202005427782~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
d2307842,MbPPwYZC,Arıel Soylu,30 II 13,+90 575-464-87-92,35,https://yandex.com.tr/harita/?ll=28.58009741139395%2C41.0381187647855&mode=routes&rtext=41.01934632417749%2C28.56314206042852~41.02070808920941%2C28.625546393372588~41.05205284805794%2C28.58397972374729~41.022059717549325%2C28.582616926204885~41.000262380691815%2C28.605379915768964~41.028159559609946%2C28.63725534377501~41.01953900905704%2C28.58309700413106~41.00247854106041%2C28.620620575007163~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
9edaad68,EujjfwrP,Beyzade Arsoy,64 CW 545,+90 515-297-73-77,36,https://yandex.com.tr/harita/?ll=28.70793903698546%2C41.070407689543714&mode=routes&rtext=41.076421456324816%2C28.69464918494835~41.06633728440952%2C28.732645313658185~41.09322704798527%2C28.703159514213315~41.06121043338078%2C28.71265676073458~41.05063976028542%2C28.720852421686512~41.06721485895089%2C28.725388302904392~41.05976907982181%2C28.701754474454138~41.087208491151166%2C28.69297687313824~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
3ded32cd,5h4hwsGB,Arıel Fırat,09 GM 704,+90 554-106-43-39,37,https://yandex.com.tr/harita/?ll=29.216177369209724%2C40.93844768343521&mode=routes&rtext=40.89309282033864%2C29.269753071591342~40.92390526016754%2C29.240090056466475~40.88599567342724%2C29.27659512955412~40.916954633182414%2C29.20285920926019~40.94179694053111%2C29.221524886770943~40.91372703904962%2C29.266280902581933~40.86400963306316%2C29.26089653968168~40.92819646607451%2C29.21892515383141~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
e37b4dda,WzCjPae0,Başok Sezgin,27 LC 878,+90 533-175-84-24,38,https://yandex.com.tr/harita/?ll=28.765763401601973%2C41.04930717951275&mode=routes&rtext=41.04151849652461%2C28.762187474891785~41.062992922736015%2C28.75693975585793~41.040304984182086%2C28.77175668421212~41.04248788725533%2C28.76955194562361~41.03567623170656%2C28.745243908957253~41.05114292662692%2C28.745770322268505~41.04921437487959%2C28.754164217168~41.044906750229664%2C28.764764309158984~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
1430d1dc,KvpyuDBK,Abdülcemal Korutürk,33 IX 626,+90 548-692-91-17,39,https://yandex.com.tr/harita/?ll=28.88466332069819%2C41.06954431274492&mode=routes&rtext=41.07194753423184%2C28.86555286048648~41.07698130227515%2C28.861742237089555~41.085108684057296%2C28.85627828571636~41.06021955629263%2C28.882992009229817~41.06613542811151%2C28.89627395659848~41.05383881156734%2C28.872940610519503~41.05944919766453%2C28.878603139189973~41.05810471719988%2C28.88422547625685~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
5820154d,IUARCNhx,Öncel İhsanoğlu,52 PL 239,+90 583-381-94-95,40,https://yandex.com.tr/harita/?ll=29.16348910278725%2C40.987559529418256&mode=routes&rtext=40.99237085853333%2C29.16568801775176~40.98781556504625%2C29.17266278400868~40.97413509105563%2C29.18058446342778~40.98831476500551%2C29.197971515487264~40.96423302705477%2C29.14735630356556~40.99686765672599%2C29.158539748540047~40.97940571256086%2C29.18819767595272~40.98351440513834%2C29.15002089018568~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
ef258fa0,yHA13FHK,Zoral Durmuş,76 ZK 941,+90 535-999-30-42,41,https://yandex.com.tr/harita/?ll=29.12704694453417%2C40.94651481331756&mode=routes&rtext=40.92488338112592%2C29.136706619918044~40.93161628724264%2C29.125547408819905~40.94524542246092%2C29.155837450007688~40.9426272687322%2C29.11689206779629~40.93777924847896%2C29.14271270583656~40.94122924366426%2C29.13105707366953~40.92981589815094%2C29.12955521315929~40.96851446495228%2C29.13676514942357~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
080cf17f,wbnmyjst,Ağakişi İnönü,41 MV 16,+90 546-977-31-92,42,https://yandex.com.tr/harita/?ll=29.356124382858955%2C41.00465703512119&mode=routes&rtext=40.99347781931932%2C29.40448901091359~41.01968046731382%2C29.347701448439327~41.00227820970271%2C29.325735632847383~41.01454355807154%2C29.39121750633703~40.99035655705103%2C29.325819271289568~41.019080221423%2C29.344366724281343~41.01512642308779%2C29.34229071635264~40.98764732853348%2C29.34596060697261~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
07e50f53,8VVswnlI,Kalgay Güçlü,37 BX 254,+90 573-399-29-07,43,https://yandex.com.tr/harita/?ll=28.65350711814234%2C41.12463472688548&mode=routes&rtext=41.1708430964126%2C28.63307478148145~41.11901283465669%2C28.67519143487045~41.13351709188645%2C28.58129975626192~41.13969789275474%2C28.7028890508092~41.12192417595605%2C28.67366329076692~41.0926648106961%2C28.666542143764666~41.148071983126194%2C28.64294026842105~41.135202577356%2C28.683025354481792~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
35a87c0a,ycmIxV18,Ayaydın Akar,59 TN 145,+90 551-587-13-43,44,https://yandex.com.tr/harita/?ll=28.929125985223973%2C41.01684367078087&mode=routes&rtext=41.02242157840196%2C28.90947841631623~41.03613341380352%2C28.93232274121375~41.01527191304291%2C28.91664304776425~41.001898822332286%2C28.932120589763223~41.02212072870231%2C28.91453568967534~40.99752416248116%2C28.915505372063272~41.0343241844248%2C28.93593852470621~41.01203888920223%2C28.94010152263984~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
59d4de33,h0lFmG0n,İbrahim Aslan,52 MQ 587,+90 584-878-60-73,45,https://yandex.com.tr/harita/?ll=29.014892824904827%2C41.12725926592312&mode=routes&rtext=41.11857594727234%2C28.95207613003752~41.11865565096876%2C28.977070569503347~41.14194223178173%2C28.973239120480773~41.11886937021919%2C29.05452475207336~41.19994813686854%2C28.9751900848787~41.09768309695836%2C28.97129826152791~41.10073383424542%2C28.95942187455867~41.21635031464248%2C29.06370850391626~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
f261dd8f,v4YsnmVl,Şahat Gülen,57 AP 843,+90 530-885-87-48,46,https://yandex.com.tr/harita/?ll=29.008611092673508%2C41.0247530342065&mode=routes&rtext=41.01369673261885%2C29.01863545131216~41.01506397539582%2C29.013233811740253~41.04431569985561%2C29.0173299781698~41.0300251202291%2C28.99174994213854~41.0295605114851%2C28.988787359300105~41.02526093345748%2C29.0124860712775~41.04602423695333%2C29.019539328512977~41.00877352983057%2C29.01326821431298~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
65e4cc9c,VRjZ3r1k,Besin Seven,46 SD 862,+90 573-494-82-05,47,https://yandex.com.tr/harita/?ll=28.97936738989957%2C41.076734225669576&mode=routes&rtext=41.086779401422646%2C28.96986530789794~41.0808357613189%2C28.971275551183417~41.07779226293435%2C28.9729629729207~41.08589485322796%2C28.945724596246688~41.08401827564773%2C28.94561097947525~41.07327174195399%2C28.958021287785755~41.07775732675976%2C28.9463270733554~41.06976398374515%2C28.96548325324117~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
0ecf7ea9,MYpVxuRf,Bengibay Tarhan,54 BI 153,+90 545-931-87-37,48,https://yandex.com.tr/harita/?ll=29.51894101824191%2C41.08139814450249&mode=routes&rtext=41.04371597231688%2C29.62397107233985~41.01689079945077%2C29.4561685737319~41.001873853776885%2C29.4596433293626~41.04862533435991%2C29.480037694918263~41.04005747322014%2C29.44224340771932~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
525269ac,ORlpSJP7,Ğanim Güçlü,36 DE 979,+90 548-311-01-17,49,https://yandex.com.tr/harita/?ll=28.853870464768416%2C41.00504471564826&mode=routes&rtext=41.00859417923355%2C28.874704238542336~40.996753301856174%2C28.8731178132907~41.00451886580354%2C28.870350413055675~40.98676932232037%2C28.84687733378123~41.00013166419678%2C28.86717738366684~40.98506398492003%2C28.865718767781928~40.993949330802266%2C28.85341699603685~40.99350534398488%2C28.84748986800709~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
037662cb,TBVfEgUo,Sunel Aksu,36 UX 648,+90 505-969-15-80,50,https://yandex.com.tr/harita/?ll=29.03296189864752%2C41.06452918934831&mode=routes&rtext=41.06244096994202%2C29.00945325988781~41.056471125142025%2C29.004501637924367~41.07180652781489%2C29.00596601209836~41.07905581307097%2C29.03406265445393~41.06421389388719%2C28.993137903461182~41.06455294838549%2C29.01158866270045~41.08447965682244%2C29.030725606769582~41.10098844235544%2C29.01637122347728~41.11132935122801%2C29.024426736290895&rtt=auto&ruri=~~~~~~~~~&z=12.41
