user_id,password,full_name,gender,attendance_status,phone_number,lattitude,longitude
5ea40558,YTyJNfnS,Günver Arsoy,female,"[0, 1, 1, 0, 1, 0, 0]",+90 565-857-91-21,28.92166909921361,41.06341911906362
a77651ad,mdTQggrr,Altınçiçek Ülker,female,"[1, 0, 0, 0, 0, 0, 0]",+90 545-594-75-87,28.71332364878288,41.07709619027612
30b838af,vqYh5zFf,Ümmet Alemdar,male,"[1, 1, 0, 0, 1, 0, 0]",+90 552-728-87-15,28.8956459647186,41.01643193333409
fcd84990,osfIWNyC,Mengüç Tevetoğlu,male,"[0, 1, 1, 1, 0, 0, 0]",+90 569-005-53-07,29.248119827379565,41.02211813852036
65ff4691,WoNGSfj7,Şendoğan Akça,female,"[0, 0, 1, 1, 0, 0, 0]",+90 503-830-31-64,28.559918383222424,41.070625433814094
8bbd65ca,UJ3GRqGI,Değmeer Soylu,male,"[0, 1, 1, 1, 1, 0, 0]",+90 538-105-11-22,28.6367756878362,41.00942151115475
c701b1e3,tnP4SMel,Sejda Seven,female,"[0, 0, 0, 1, 1, 0, 0]",+90 558-408-99-32,29.27603603376132,41.07243332288824
6867814f,2WDV55PM,Orçin Çorlu,female,"[0, 1, 0, 0, 1, 0, 0]",+90 550-406-30-72,29.262284774318577,40.99720891166528
4cd54cd7,efNcuzRV,Fahrullah Sakarya,male,"[0, 0, 0, 0, 0, 0, 0]",+90 532-051-06-14,29.3120400225948,41.01831732248918
84f78fe7,84pmnlHO,Us Korutürk,male,"[0, 0, 1, 1, 1, 0, 0]",+90 555-796-08-41,29.176210501325293,41.03648281130536
6dc76f4a,UiaLFHB0,Akdora Bilge,male,"[0, 0, 0, 0, 1, 0, 0]",+90 528-175-24-92,29.06372297660247,40.985090556716976
825fccec,O1o0pgdZ,Yahşi Fırat,female,"[0, 0, 1, 1, 1, 0, 0]",+90 561-010-69-81,28.964935251431164,41.04352517774172
44fda5da,60LSql37,Nayil Bilge,male,"[1, 0, 0, 0, 1, 0, 0]",+90 527-316-78-44,28.58009741139395,41.0381187647855
8c917e25,vFBkJ2iv,Cenan Erdoğan,male,"[1, 1, 0, 0, 0, 0, 0]",+90 511-324-44-91,29.028051346763387,41.04973438724154
5d31b4d3,AoRcsSoq,Örfiye Erdoğan,female,"[1, 0, 0, 0, 1, 0, 0]",+90 559-337-74-32,28.670853213216105,41.08844201014723
1f138786,jle9FQ0e,Saire Bilir,female,"[1, 1, 1, 0, 0, 0, 0]",+90 590-644-74-20,28.823362889674776,40.9607048348276
2d217cba,yvHqvJ2K,Sağcan Güçlü,male,"[1, 1, 0, 0, 1, 0, 0]",+90 575-133-95-78,29.51894101824191,41.08139814450249
b32dd2e0,hSrmdtmD,Semat Seven,female,"[1, 1, 1, 1, 0, 0, 0]",+90 576-600-83-74,28.82632745682496,41.145244417339256
a197c3c9,zOQmXF3Y,Özkutlu Akça,male,"[1, 0, 0, 0, 0, 0, 0]",+90 557-821-14-34,28.891962301952333,41.01873003092778
861c3f19,MRG1PyoV,Şanlı Durdu,male,"[0, 1, 1, 0, 0, 0, 0]",+90 531-720-74-39,28.776197146574543,41.04487867243472
a70db90e,6xiIlrUQ,Kalgay Bilgin,male,"[1, 1, 1, 0, 1, 0, 0]",+90 563-598-04-33,28.9440914171029,41.03375914373337
0469a6da,8l1khkop,Geray Durdu,male,"[0, 0, 0, 0, 0, 0, 0]",+90 508-338-64-58,28.70793903698546,41.070407689543714
c5f4d619,AVrN3SyO,Şavki Manço,male,"[0, 1, 1, 1, 0, 0, 0]",+90 576-125-71-71,28.878464638334663,41.13481758536173
777cd3ac,QPifYzvQ,Torhan Demir,male,"[1, 1, 1, 0, 0, 0, 0]",+90 599-303-80-13,29.362621583383937,41.009747509463445
2f086978,oRutcieB,Hüda Akdeniz,female,"[1, 1, 0, 1, 0, 0, 0]",+90 578-602-22-54,29.168118982693592,41.01301140970863
fd9db7af,LhpSs4pY,Omaca Akar,male,"[0, 0, 0, 1, 0, 0, 0]",+90 576-944-35-68,29.03583383281757,41.12422780849188
40a52b97,pgxzKzvX,Süvari Aslan,male,"[1, 1, 0, 0, 1, 0, 0]",+90 575-626-30-23,29.216177369209724,40.93844768343521
5e8590e8,pN2vNy0o,Velitdin Akgündüz,male,"[1, 0, 0, 1, 0, 0, 0]",+90 570-697-07-10,29.05700072752888,41.05408151485957
048cf546,lH9R30St,Yalın Fırat,female,"[1, 0, 0, 1, 1, 0, 0]",+90 579-537-02-15,29.314803724898503,41.010266424037134
b7eca3f8,NAeQz1zh,Karcan Duran,male,"[0, 0, 1, 0, 0, 0, 0]",+90 594-098-10-94,28.87620800973105,40.9705437706816
a6ddfd43,EEiY9AFk,Korkmazalp Bilir,male,"[1, 0, 0, 1, 0, 0, 0]",+90 580-409-08-90,28.66764544126389,40.96872071766654
04aaac09,eVNmTboz,Ermutlu Türk,male,"[0, 1, 0, 0, 1, 0, 0]",+90 509-094-05-01,29.07866673507692,41.0914336169778
de18bb1b,Mq56t4ko,Benek Zengin,female,"[1, 1, 0, 0, 1, 0, 0]",+90 597-267-42-71,29.62397107233985,41.04371597231688
53d4450d,kC1p3ND0,Nilcan Sezer,female,"[0, 1, 0, 1, 0, 0, 0]",+90 510-202-63-50,29.0703949837938,41.102289416414926
0026cfa7,HH72ZinW,Besey Şener,female,"[1, 1, 1, 0, 0, 0, 0]",+90 549-726-19-68,29.13020076987316,41.053319322694456
828b799e,jkbqrhgl,Hafıza Zengin,female,"[1, 0, 0, 1, 1, 0, 0]",+90 552-116-85-59,28.87164409093429,40.98494640837929
f422fb97,zgu0te8L,Aynilhayat Seven,female,"[1, 0, 0, 1, 1, 0, 0]",+90 505-260-02-75,28.85614046129054,41.02197370810624
c8a83531,ziThYVwo,Abdülcemal Demirel,male,"[0, 1, 0, 0, 1, 0, 0]",+90 527-787-64-20,28.874704238542336,41.00859417923355
fe1748a0,0YutM5Pu,Erdemer İhsanoğlu,male,"[0, 1, 1, 0, 1, 0, 0]",+90 534-127-73-10,28.89016345510294,41.0440559148801
780c5bbc,uSB1EV69,Günaydin Şafak,male,"[0, 0, 1, 0, 0, 0, 0]",+90 566-459-43-40,29.40430472964619,40.940820383297705
18bebc86,IF8CjFsM,Ballı Gülen,female,"[0, 1, 0, 1, 1, 0, 0]",+90 597-272-85-91,29.31478118179558,41.06194770454072
ab1bab06,4prut9rs,Nirgül Eraslan,female,"[1, 0, 0, 1, 0, 0, 0]",+90 511-363-43-42,29.11103083647796,41.01585259997934
1c3ae74f,B6JBsHVq,Törel Ülker,male,"[1, 0, 1, 0, 1, 0, 0]",+90 558-536-10-28,29.014892824904827,41.12725926592312
29d3ccf9,Vv2b2jpE,Söyler Sakarya,female,"[1, 1, 0, 0, 1, 0, 0]",+90 528-913-76-66,29.22652098893053,41.08629212556357
e7bc58e1,7dUG98oK,Fenni Aksu,male,"[0, 0, 1, 1, 0, 0, 0]",+90 583-575-13-71,28.95867694706602,41.02315370770954
48b02609,qgz5jotd,Eskinalp Ertaş,male,"[0, 0, 0, 1, 1, 0, 0]",+90 542-265-66-57,28.647993544000133,41.0251014698353
67d82dce,JRoaR30U,Ildız Fırat,female,"[0, 1, 0, 1, 1, 0, 0]",+90 516-746-31-88,28.65350711814234,41.12463472688548
039ac77d,vgMqkOX3,Ufukay Zorlu,male,"[0, 1, 1, 0, 1, 0, 0]",+90 506-947-61-29,28.541893132902917,41.051616541537626
00bb5b98,zqwofFD6,Şenkal Eraslan,male,"[0, 1, 0, 0, 0, 0, 0]",+90 500-873-41-01,28.55801621327145,41.0480860805319
0eb0e18e,cDow22k4,Aydınbey Mansız,male,"[0, 0, 0, 1, 0, 0, 0]",+90 509-176-16-53,28.63307478148145,41.1708430964126
b6ed2067,wd9iJDYj,Zaliha Şafak,female,"[0, 1, 1, 0, 0, 0, 0]",+90 599-744-58-32,29.112765159741397,40.95671800562061
0120a356,TEOELs8W,Hafıza İnönü,female,"[0, 1, 0, 0, 0, 0, 0]",+90 585-792-98-02,29.286089127802796,40.94726510223708
40b303d0,f11yDEt0,Sümeyye Aksu,male,"[0, 1, 0, 1, 0, 0, 0]",+90 530-531-16-99,28.884394199759168,41.06950644340489
c2ca66c4,bh90Fg96,Canan Tevetoğlu,female,"[0, 1, 1, 1, 1, 0, 0]",+90 595-933-86-12,29.03296189864752,41.06452918934831
72e41a03,C6p7Tgsc,Paksu Eraslan,female,"[0, 1, 1, 0, 0, 0, 0]",+90 502-615-27-78,28.75506588018652,41.12292976160676
4c40e8fc,wUj9oq1I,Tan Sezgin,female,"[0, 1, 0, 0, 1, 0, 0]",+90 502-910-52-87,28.690579047226613,40.98048661145467
34409520,8APhzH5b,Aynilhayat Hayrioğlu,female,"[0, 1, 0, 1, 1, 0, 0]",+90 510-794-14-24,28.839752831423517,40.990331596849536
9d045b8c,PGPzFhGz,Deniz Arsoy,female,"[1, 0, 1, 0, 0, 0, 0]",+90 500-012-38-55,28.62607926132576,40.984247865400775
f208d3cd,uHDtqxRR,Abdülcemal Yılmaz,male,"[1, 0, 0, 1, 0, 0, 0]",+90 513-181-05-05,28.75522975472101,41.01684695767427
6e2bab6a,fETEwnHE,Haliye Çetin,female,"[1, 0, 1, 0, 0, 0, 0]",+90 583-093-77-15,28.825476410834884,41.01921493563172
85d62c3c,DHC2RzXO,Dirican Şafak,male,"[0, 0, 1, 0, 1, 0, 0]",+90 556-675-59-80,28.561910009943865,41.06648311090447
0a42f3d0,SU6z1Wty,Örik Demir,male,"[1, 1, 1, 1, 1, 0, 0]",+90 549-810-90-33,29.13321874532927,41.07929916917464
17fc6113,GXU6i9uC,Adila İhsanoğlu,female,"[1, 0, 0, 1, 0, 0, 0]",+90 527-335-39-30,28.780768985872605,40.98370796208315
d8343082,Tmqa64yL,Zülgarni Şama,male,"[0, 1, 1, 1, 0, 0, 0]",+90 507-295-68-38,28.88466332069819,41.06954431274492
a36c67e8,4yqzGZ6K,Neriban Yaman,female,"[1, 0, 1, 0, 1, 0, 0]",+90 524-231-69-28,28.867237666309084,41.03653451572769
ed077058,CXpEWy9p,Bali Hayrioğlu,male,"[0, 1, 0, 1, 0, 0, 0]",+90 544-791-42-61,28.796966617842216,41.00983628856703
adbf02e7,kCLxSX2U,Risalet Gül,male,"[0, 0, 0, 0, 0, 0, 0]",+90 551-838-09-80,29.169324960982536,41.219431202163264
c6ff2360,uCUktcry,Burakhan Akar,male,"[0, 0, 1, 1, 1, 0, 0]",+90 500-196-88-60,28.747468464024266,41.116067586843705
317f9970,ehAWlvep,Ferhan Akgündüz,female,"[0, 0, 1, 0, 0, 0, 0]",+90 576-511-71-95,28.48031991167112,41.181226343273
a82fb307,kDnO81qK,Miyesser Gül,female,"[0, 1, 0, 1, 1, 0, 0]",+90 506-394-33-64,28.796879966203623,41.02608974196605
f7b8298f,VrTZ3REt,Uluğbey Hayrioğlu,male,"[0, 0, 1, 0, 0, 0, 0]",+90 500-437-61-68,28.69464918494835,41.076421456324816
0cabacaa,jlxOxTia,Seydo Sakarya,male,"[0, 0, 1, 1, 0, 0, 0]",+90 593-813-86-88,28.79901022364217,40.99871933852262
79fb6dc6,tofcrniX,İmrihan Yüksel,female,"[0, 0, 0, 1, 0, 0, 0]",+90 505-854-68-69,28.918116194691063,41.03685364246835
c77efb81,ufkyFj2y,Gökçil Şener,male,"[1, 1, 1, 0, 0, 0, 0]",+90 537-829-61-21,29.088646207695707,40.98210629405298
c8fcb9e9,IIDPe6pL,Köker Zengin,male,"[1, 0, 1, 1, 0, 0, 0]",+90 561-021-83-26,28.792919879107053,41.05776591862325
6a355c73,bckaQfYL,Sırriye Yüksel,female,"[1, 1, 1, 1, 0, 0, 0]",+90 596-633-59-49,28.80832182819283,40.98578611516609
da953101,c5yybsUN,Banü Şener,female,"[1, 1, 1, 0, 1, 0, 0]",+90 508-351-16-59,29.18301654703287,40.9949239171708
46ee80a2,z6U1EeTj,Olca Türk,male,"[0, 1, 0, 1, 1, 0, 0]",+90 588-478-41-84,28.69167621483269,40.97777897834605
5deb3352,JOnNF02T,Elamiye Demirel,female,"[1, 0, 1, 0, 1, 0, 0]",+90 566-929-87-89,29.004774969055276,41.065604664344434
55f3d2d8,POjNdJdZ,Aran Erdoğan,male,"[0, 1, 1, 1, 1, 0, 0]",+90 509-510-73-29,28.79350892063,41.07683490391371
4f7515f9,g9bmjKqq,Zerafet Seven,female,"[1, 1, 0, 1, 0, 0, 0]",+90 587-889-33-98,28.82002974577546,41.05997983497586
ff28f266,UcVMqFQI,Dinçsü Gül,male,"[1, 0, 1, 1, 1, 0, 0]",+90 523-166-67-16,29.09627244284061,41.000483024237255
66830d7a,nA20mR1O,Ruhide Çorlu,female,"[0, 0, 1, 1, 1, 0, 0]",+90 597-956-77-33,29.03961157370496,41.02656721025015
10d1cba9,2QHEoC4G,Siti Sakarya,female,"[0, 0, 0, 1, 0, 0, 0]",+90 564-904-63-29,28.97936738989957,41.076734225669576
688206cd,LJnphr1x,Vafir Demir,male,"[0, 0, 1, 0, 1, 0, 0]",+90 502-439-82-04,28.803121863678697,40.9724432729504
7880bdde,2xLiQGHH,Kerman Ergül,male,"[0, 0, 0, 1, 1, 0, 0]",+90 567-458-46-93,28.88606470324119,40.99680236698276
948dce5e,PdyS54HO,Gücal Sakarya,male,"[0, 0, 1, 1, 0, 0, 0]",+90 517-925-33-00,28.563805666767927,41.04610445212034
1101c72c,o6dhkXu9,Yaşar Hayrioğlu,female,"[0, 0, 1, 1, 1, 0, 0]",+90 555-501-64-85,29.40448901091359,40.99347781931932
b1334071,DTWcEMyN,Ballı Çorlu,female,"[0, 1, 0, 1, 1, 0, 0]",+90 554-083-02-48,29.32879967769455,41.05992675972439
fa7abd8f,RIWc62m4,Özdal Aksu,male,"[1, 1, 0, 1, 1, 0, 0]",+90 509-866-08-03,28.82011177622962,41.05695967710372
493d0429,KJWkIrp2,Misra Gül,female,"[1, 0, 1, 1, 0, 0, 0]",+90 554-664-73-13,28.84491451920014,41.02039538098876
d14fa10c,AEec3dZ5,Arcan Sezer,male,"[0, 0, 0, 1, 0, 0, 0]",+90 514-643-35-74,28.98498668495417,41.03266710026474
21ecd66d,4KcRtUzr,Kandef Güçlü,female,"[0, 0, 1, 1, 0, 0, 0]",+90 564-369-15-07,29.065980573936603,41.04809692280027
e749795d,yahP5LPA,Nurmelek Sakarya,female,"[1, 0, 1, 1, 0, 0, 0]",+90 589-116-86-64,29.008611092673508,41.0247530342065
8c3d6ce0,koCQd3it,Amre Arslan,female,"[1, 1, 1, 0, 1, 0, 0]",+90 500-555-23-12,29.23548332572716,41.02393464336165
60d0842a,6cmtEDaf,Selâtin Demir,male,"[0, 0, 1, 0, 1, 0, 0]",+90 578-595-06-09,28.78367569123723,41.01470288299112
02b8492f,jgpq3Tdn,Bilginur Sezer,female,"[1, 1, 0, 1, 1, 0, 0]",+90 512-237-42-00,29.14309256641041,41.162816513914
2842019c,nSjN8CBB,Asiman Eraslan,female,"[0, 0, 1, 1, 0, 0, 0]",+90 549-294-29-06,28.8731178132907,40.996753301856174
68814706,IsIhcMGJ,Fadıla Gülen,female,"[0, 1, 1, 1, 1, 0, 0]",+90 551-021-67-87,29.17476522344286,41.04688936722893
e61ba1a5,nB0ZgjPM,Semender Çorlu,male,"[1, 1, 1, 1, 0, 0, 0]",+90 536-740-04-99,29.25857537994268,41.034878401104166
d14c65a3,lGr6Zwwa,Hindal Aslan,male,"[0, 1, 1, 1, 0, 0, 0]",+90 574-233-27-92,28.87841629883476,41.12757295431184
bc7fe95c,uR66J0o2,Zümre Tarhan,female,"[1, 1, 0, 1, 0, 0, 0]",+90 517-337-10-27,28.59997040122333,41.01077680802765
f608080a,YAVDlxRS,Aynımah Karadeniz,female,"[0, 0, 1, 1, 1, 0, 0]",+90 538-923-26-41,28.852334451292435,41.06498341385497
4510b285,tQMsupDc,Seyhan Zorlu,female,"[0, 1, 0, 0, 1, 0, 0]",+90 569-048-36-26,28.828165723636936,40.97788961734778
150008b3,0rWUDczI,Tule Arsoy,female,"[1, 1, 0, 1, 1, 0, 0]",+90 535-312-20-27,28.74787134108761,41.04928545884588
51608f57,pt06M86N,Rayla Güçlü,female,"[1, 0, 0, 0, 0, 0, 0]",+90 529-417-15-11,28.66339816977236,41.07060135535692
fbc816c5,uL9JdmtB,Ozansü Tevetoğlu,male,"[0, 1, 0, 0, 1, 0, 0]",+90 500-363-34-03,29.08470383712543,40.95788536822527
fbafaa9e,tor6rro1,Gözel Akçay,male,"[0, 1, 0, 1, 0, 0, 0]",+90 593-296-60-63,28.81724811593435,41.02839585399243
ac25f70c,3fulcnwF,Orgün Şener,male,"[1, 1, 0, 0, 0, 0, 0]",+90 533-104-86-82,29.05085402482236,41.04678215946828
265943a7,qlCUDoOU,Erdursun Manço,male,"[0, 1, 0, 0, 1, 0, 0]",+90 564-401-03-24,29.146430530347505,41.12830977314589
4c807168,atmy7D4n,Fadıla Yorulmaz,female,"[0, 1, 1, 0, 0, 0, 0]",+90 513-501-38-64,28.98480247376413,41.02949775432055
5ac31529,3piG4xwi,Elgin Hayrioğlu,female,"[0, 0, 1, 1, 1, 0, 0]",+90 541-988-19-53,29.21565908483737,41.02097705384194
46d334ce,HjKNks9R,Konguralp Bilir,male,"[0, 0, 0, 0, 0, 0, 0]",+90 569-428-89-16,28.783838026196207,40.995903908741305
8c47825a,GEl4hKnS,Tunguç Şafak,male,"[1, 1, 0, 1, 1, 0, 0]",+90 574-332-68-88,29.323398321348737,41.07794861846302
d987d008,nvCPcTnp,Seyfullah Öcalan,male,"[0, 1, 0, 0, 1, 0, 0]",+90 563-450-22-03,29.23897292106591,41.00347731084189
11b7eb93,eABqt2vW,Ensari Ergül,male,"[0, 1, 1, 1, 1, 0, 0]",+90 531-286-34-91,29.12704694453417,40.94651481331756
44ea9a68,WH0gZC31,Erksoy Tarhan,male,"[1, 1, 1, 1, 0, 0, 0]",+90 509-270-25-36,28.99831215308851,41.079009130695525
6657e25c,l0q4edSt,Selvi Türk,male,"[1, 1, 1, 1, 1, 0, 0]",+90 527-206-76-38,28.834387565268575,41.04044781056295
97ab59c9,tXSRgYpo,Kader Ertaş,male,"[1, 0, 0, 1, 0, 0, 0]",+90 515-563-25-17,28.77432187294364,41.17804552925792
39898a88,XJu0Jptd,Güçyeter Çetin,male,"[0, 1, 0, 0, 1, 0, 0]",+90 526-378-79-94,29.02608149590172,41.09812855021888
5e7ec681,dsQVT2Uz,Aygutalp Bilgin,male,"[1, 0, 1, 0, 1, 0, 0]",+90 504-884-87-46,29.24547159571404,40.948330665690506
62d6b59e,Rxf83EKJ,Altınkaya Türk,male,"[1, 0, 0, 1, 0, 0, 0]",+90 573-770-68-44,28.870350413055675,41.00451886580354
83b77546,VKxpKSbb,Ulu Ergül,male,"[0, 1, 1, 1, 0, 0, 0]",+90 507-233-20-68,29.131091049045548,41.08192929659116
8710c0fd,tS18dh1m,Sernur Alemdar,female,"[1, 1, 0, 0, 0, 0, 0]",+90 516-760-60-52,29.277443932690584,40.97888859078117
73fab58f,4m7hkbKm,Çilga Sakarya,female,"[0, 0, 1, 0, 0, 0, 0]",+90 587-389-64-57,28.88107935089358,41.05360295273043
4d448952,8NULppbt,Emiş Akçay,female,"[1, 0, 1, 0, 0, 0, 0]",+90 587-076-80-97,29.326986365447205,41.1056305211874
4698e0fa,wYnNRzs9,Eskinalp Yılmaz,male,"[1, 0, 0, 1, 1, 0, 0]",+90 542-976-95-37,28.60813411204445,41.02621808131102
d76070af,p1HRc7Ur,Sefer Çetin,female,"[1, 0, 1, 0, 1, 0, 0]",+90 534-694-10-70,29.095513834552648,41.039187783571855
9b01c707,8I3QZIOs,Nurmelek Kısakürek,female,"[0, 0, 1, 1, 1, 0, 0]",+90 595-720-13-45,28.961938608451764,41.15718991504783
e32a77f9,lLFPxELC,Bidayet Şafak,female,"[0, 1, 1, 1, 1, 0, 0]",+90 522-847-75-95,29.133715310338037,41.02656538784653
a85103d9,vwZNbNIz,Işıkay Bilgin,male,"[0, 0, 0, 0, 1, 0, 0]",+90 574-558-58-77,28.92108275277949,41.17381626197255
2886a46a,C3RFGJk7,Aköz Ergül,male,"[0, 1, 0, 0, 0, 0, 0]",+90 582-612-49-38,29.09288789138096,40.98462906211962
89c23f76,w82YnTer,Dilhuş Yaman,female,"[0, 1, 1, 1, 1, 0, 0]",+90 531-948-75-61,28.864244828167905,41.06837412260602
a17f3a94,eV6yK6bd,Boynak Tarhan,male,"[0, 1, 0, 0, 1, 0, 0]",+90 574-729-03-19,28.678788312828896,41.10815780951732
b8ed120e,NLNRX0zg,Merdi Güçlü,male,"[1, 1, 1, 1, 0, 0, 0]",+90 556-048-02-77,28.89518625172449,41.0782729234031
b251d265,YohqDkIr,Edaviye Durmuş,female,"[0, 0, 0, 0, 0, 0, 0]",+90 535-614-29-79,28.82910188816681,41.10974302205699
689d12eb,LOhqTWgz,Erseç Güçlü,male,"[0, 1, 1, 0, 1, 0, 0]",+90 533-453-27-79,28.80347150376244,41.11671542258554
bb6b6c17,AqZAhTSY,Servinaz Bilgin,female,"[1, 0, 0, 1, 1, 0, 0]",+90 532-029-47-47,29.032073709697794,41.00441581831227
e9bad229,xTFYLBBj,İslime Şensoy,female,"[1, 1, 1, 1, 1, 0, 0]",+90 524-800-50-36,29.4245629250758,40.95212364601005
b753d356,rmnCGE4Z,Günar Yüksel,female,"[1, 1, 0, 1, 0, 0, 0]",+90 544-736-72-96,28.83296980466795,41.06356718969048
5d7821c2,7FxPM8KR,İlsu Fırat,male,"[0, 1, 0, 0, 0, 0, 0]",+90 570-031-10-74,28.635157102872025,41.07759634797839
8b947c44,XWm5wKvh,Göken Yüksel,male,"[1, 0, 0, 1, 1, 0, 0]",+90 577-519-53-67,29.136706619918044,40.92488338112592
b5c1fc52,7gKH6Jd8,Canseven Çetin,female,"[0, 0, 0, 0, 0, 0, 0]",+90 562-217-19-99,29.347701448439327,41.01968046731382
48ecf01b,s7ibYy54,Ruhugül Arslan,female,"[0, 0, 1, 1, 1, 0, 0]",+90 576-455-45-92,28.900144252566854,41.0705627946035
79f4d789,vnaANqxY,Sebigül Tevetoğlu,female,"[0, 0, 0, 0, 0, 0, 0]",+90 506-715-30-62,28.779121236984786,41.14594502382073
bd932d03,70EEQIzk,İkiz Korutürk,male,"[1, 1, 0, 0, 1, 0, 0]",+90 589-853-82-78,29.334608841120485,40.9158989171449
dded8f90,PkdW0BLT,Özdoğdu Zengin,male,"[1, 1, 0, 0, 1, 0, 0]",+90 596-479-96-74,28.40146079837849,41.05188136614766
956aa9c2,GQj1HJ0q,Tümer Manço,male,"[0, 1, 0, 0, 1, 0, 0]",+90 540-824-71-70,28.866002276150414,40.992259255820926
f6d8dec3,91l4REg3,Mufide Zorlu,female,"[0, 0, 0, 1, 1, 0, 0]",+90 587-688-76-66,28.846105678109087,41.07981858955459
dc1cd15e,27gzZYye,İntihap Dumanlı,male,"[1, 1, 0, 1, 0, 0, 0]",+90 523-659-96-46,28.836871810975545,41.05993677682794
6bf4173b,QrYxTjhZ,Ebuakil Aslan,male,"[1, 1, 0, 0, 1, 0, 0]",+90 576-942-53-38,29.29295553874112,40.88646253770871
1a24107d,fB814k03,Aksoy Erdoğan,female,"[0, 0, 1, 1, 0, 0, 0]",+90 547-557-79-06,29.02505980371693,41.01186057905495
5ea1ed33,5y2sgA3A,Zebirce Hançer,female,"[0, 0, 1, 0, 0, 0, 0]",+90 548-871-57-92,28.819925433807978,41.06073210227336
0dfe354c,k8V7daD3,Sudi Mansız,male,"[0, 1, 0, 1, 1, 0, 0]",+90 584-761-46-03,29.106004403234778,40.9854645590375
fb5640d6,EOBp90TW,Arıkol Aslan,male,"[1, 0, 1, 0, 0, 0, 0]",+90 515-552-94-33,29.249587957668748,40.996536698484334
9869c5ca,tandLFGF,Canur Gülen,female,"[1, 1, 1, 0, 1, 0, 0]",+90 599-129-60-43,28.83068611407114,40.99149436152956
